section,category,metric,type,date,value
State Data,Cumulative counts to date,1+%,All COVID Vaccines,NA,0.7777585506403834
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,NA,9563939
State Data,Cumulative counts to date,Cumulative Doses Distributed,All COVID Vaccines,NA,9557010
State Data,Cumulative counts to date,People Fully Immunized,NA,NA,3811160
State Data,Cumulative counts to date,People Immunized with One Dose,NA,NA,4227253
State Data,Cumulative counts to date,People with Additional Doses,All COVID Vaccines,NA,1558081
State Data,Cumulative counts to date,Total Vaccine Providers,NA,NA,1871
State Data,Cumulative counts to date,Utd%,All COVID Vaccines,NA,0.7012402301341074
State Data,Vaccination Rates,Colorado 12+ Fully Immunized Rate,All COVID Vaccines,NA,0.748142257497913
State Data,Vaccination Rates,Colorado 18+ Fully Immunized Rate,All COVID Vaccines,NA,0.7643255162814068
State Data,Vaccination Rates,Colorado 65+ Fully Immunized Rate,All COVID Vaccines,NA,0.8760347062930088
State Data,Vaccination Rates,Colorado 5+ Fully Immunized Rate,All COVID Vaccines,NA,0.7012402301341074
State Data,Vaccination Rates,Colorado 5-11 Fully Immunized Rate,All COVID Vaccines,NA,0.21764878713557284
State Data,Vaccination Rates,Colorado 12-17 Fully Immunized Rate,All COVID Vaccines,NA,0.58465097304349
State Data,Vaccination Rates,Colorado Total Population Fully Immunized Rate,All COVID Vaccines,NA,0.6622939606748407
State Data,Vaccination Rates,Colorado 12+ 1+ Vaccination Rate,All COVID Vaccines,NA,0.8228239301547785
State Data,Vaccination Rates,Colorado 18+ 1+ Vaccination Rate,All COVID Vaccines,NA,0.8398320326613515
State Data,Vaccination Rates,Colorado 65+ 1+ Vaccination Rate,All COVID Vaccines,NA,0.941890229713108
State Data,Vaccination Rates,Colorado 5+ 1+ Vaccination Rate,All COVID Vaccines,NA,0.7777585506403834
State Data,Vaccination Rates,Colorado 5-11 1+ Vaccination Rate,All COVID Vaccines,NA,0.31316094912033204
State Data,Vaccination Rates,Colorado 12-17 1+ Vaccination Rate,All COVID Vaccines,NA,0.6509977002012884
State Data,Vaccination Rates,Colorado Total Population 1+ Vaccination Rate,All COVID Vaccines,NA,0.7346015733122205
State Data,Vaccination Rates,Colorado 18+ Boost,All COVID Vaccines,NA,0.4513669744909633
State Data,Vaccination Rates,Colorado 65+ Boost,All COVID Vaccines,NA,0.6706171618198187
State Metrics,Vaccinations,Immunized Yesterday,Janssen,NA,126
State Metrics,Vaccinations,Immunized Yesterday,Janssen Change from Yesterday,NA,-90
State Metrics,Vaccinations,Immunized Yesterday,Moderna,NA,4465
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,NA,-3901
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,NA,5971
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,NA,-5321
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,NA,0
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,NA,-1
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Janssen,NA,214
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,NA,6348
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,NA,8128
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,NA,19
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-14,238
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-14,2
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-14,204
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-14,238
Vaccine Administration,Administration,Daily,Janssen,2020-12-14,2
Vaccine Administration,Administration,Daily,Pfizer,2020-12-14,204
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-14,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-14,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-14,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-14,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-14,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-14,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-14,238
