section,category,metric,type,date,value,publish_date
State Data,Cumulative counts to date,Total Vaccine Providers,All COVID Vaccines,NA,2154,2023-05-08
State Data,Cumulative counts to date,People Immunized With One Dose,All COVID Vaccines,NA,4526897,2023-05-08
State Data,Cumulative counts to date,Eligible People Immunized With One Dose,All COVID Vaccines,NA,0.787,2023-05-08
State Data,Cumulative counts to date,People Fully Immunized,All COVID Vaccines,NA,4114515,2023-05-08
State Data,Cumulative counts to date,Eligible People Fully Immunized,All COVID Vaccines,NA,0.715,2023-05-08
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,NA,12631638,2023-05-08
State Data,Cumulative counts to date,1+ Booster,All COVID Vaccines,NA,2326057,2023-05-08
State Data,Cumulative counts to date,2+ Booster,All COVID Vaccines,NA,1153641,2023-05-08
State Data,Vaccination Rates,At Least One Dose,Ages 0-4,NA,0.159,2023-05-08
State Data,Vaccination Rates,Completed Primary Series,Ages 0-4,NA,0.126,2023-05-08
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 0-4,NA,0.09,2023-05-08
State Data,Vaccination Rates,At Least One Dose,Ages 12-17,NA,0.601,2023-05-08
State Data,Vaccination Rates,Completed Primary Series,Ages 12-17,NA,0.543,2023-05-08
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 12-17,NA,0.215,2023-05-08
State Data,Vaccination Rates,At Least One Dose,Ages 12+,NA,0.866,2023-05-08
State Data,Vaccination Rates,Completed Primary Series,Ages 12+,NA,0.79,2023-05-08
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 12+,NA,0.291,2023-05-08
State Data,Vaccination Rates,At Least One Dose,Ages 18+,NA,0.892,2023-05-08
State Data,Vaccination Rates,Completed Primary Series,Ages 18+,NA,0.814,2023-05-08
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 18+,NA,0.296,2023-05-08
State Data,Vaccination Rates,At Least One Dose,Ages 5-11,NA,0.382,2023-05-08
State Data,Vaccination Rates,Completed Primary Series,Ages 5-11,NA,0.331,2023-05-08
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 5-11,NA,0.232,2023-05-08
State Data,Vaccination Rates,At Least One Dose,Ages 5+,NA,0.823,2023-05-08
State Data,Vaccination Rates,Completed Primary Series,Ages 5+,NA,0.749,2023-05-08
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 5+,NA,0.289,2023-05-08
State Data,Vaccination Rates,At Least One Dose,Ages 65+,NA,1.1,2023-05-08
State Data,Vaccination Rates,Completed Primary Series,Ages 65+,NA,1.031,2023-05-08
